Category,Week,Forecast_Quantity,Best_Model,Original_Best_Model,Forecast_Type
Clothing,2022-01-03,9293.74,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Clothing,2022-01-10,9346.56,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Clothing,2022-01-17,9346.56,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Clothing,2022-01-24,9405.57,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Electronics,2022-01-03,9290.47,SARIMA-family,SARIMA-family,Future
Electronics,2022-01-10,9749.03,SARIMA-family,SARIMA-family,Future
Electronics,2022-01-17,8715.7,SARIMA-family,SARIMA-family,Future
Electronics,2022-01-24,8686.56,SARIMA-family,SARIMA-family,Future
Furniture,2022-01-03,9450.86,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Furniture,2022-01-10,9409.92,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Furniture,2022-01-17,9419.06,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Furniture,2022-01-24,9374.17,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Groceries,2022-01-03,9401.2,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Groceries,2022-01-10,9398.42,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Groceries,2022-01-17,9379.41,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Groceries,2022-01-24,9379.41,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Toys,2022-01-03,9286.83,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Toys,2022-01-10,9317.51,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Toys,2022-01-17,9317.51,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
Toys,2022-01-24,9317.51,SARIMA-family_with_LightGBM_Fallback,SARIMA-family,Future
